t, angle
0, 175.000000
0.000100, 174.900000
0.000200, 174.800010
0.000300, 174.700029
0.000400, 174.600057
0.000500, 174.500095
0.000600, 174.400142
0.000700, 174.300199
0.000800, 174.200266
0.000900, 174.100341
0.001000, 174.000427
0.001100, 173.900521
0.001200, 173.800625
0.001300, 173.700739
0.001400, 173.600862
0.001500, 173.500994
0.001600, 173.401135
0.001700, 173.301286
0.001800, 173.201446
0.001900, 173.101616
0.002000, 173.001795
0.002100, 172.901983
0.002200, 172.802180
0.002300, 172.702387
0.002400, 172.602603
0.002500, 172.502828
0.002600, 172.403063
0.002700, 172.303307
0.002800, 172.203560
0.002900, 172.103822
0.003000, 172.004093
0.003100, 171.904374
0.003200, 171.804664
0.003300, 171.704963
0.003400, 171.605271
0.003500, 171.505589
0.003600, 171.405915
0.003700, 171.306251
0.003800, 171.206595
0.003900, 171.106949
0.004000, 171.007312
0.004100, 170.907684
0.004200, 170.808066
0.004300, 170.708456
0.004400, 170.608855
0.004500, 170.509263
0.004600, 170.409681
0.004700, 170.310107
0.004800, 170.210543
0.004900, 170.110987
0.005000, 170.011441
0.005100, 169.911903
0.005200, 169.812374
0.005300, 169.712855
0.005400, 169.613344
0.005500, 169.513843
0.005600, 169.414350
0.005700, 169.314866
0.005800, 169.215391
0.005900, 169.115925
0.006000, 169.016468
0.006100, 168.917020
0.006200, 168.817580
0.006300, 168.718150
0.006400, 168.618728
0.006500, 168.519315
0.006600, 168.419911
0.006700, 168.320516
0.006800, 168.221130
0.006900, 168.121752
0.007000, 168.022384
0.007100, 167.923024
0.007200, 167.823672
0.007300, 167.724330
0.007400, 167.624996
0.007500, 167.525671
0.007600, 167.426355
0.007700, 167.327048
0.007800, 167.227749
0.007900, 167.128459
0.008000, 167.029177
0.008100, 166.929904
0.008200, 166.830640
0.008300, 166.731385
0.008400, 166.632138
0.008500, 166.532900
0.008600, 166.433671
0.008700, 166.334450
0.008800, 166.235237
0.008900, 166.136034
0.009000, 166.036839
0.009100, 165.937652
0.009200, 165.838474
0.009300, 165.739305
0.009400, 165.640144
0.009500, 165.540991
0.009600, 165.441847
0.009700, 165.342712
0.009800, 165.243585
0.009900, 165.144467
0.010000, 165.045357
0.010100, 164.946256
0.010200, 164.847163
0.010300, 164.748078
